,tweet
171,#CampaignTrail: Akhilesh Yadav's admirers https://t.co/u5TWdj7Y0t
172,Akhilesh Yadav with Mother Teresa Sisters waiting for him on the road.  Benefits of Congress Alliance. https://t.co/HfqlaEFtlD
173,"#CampaignTrail 
Amit Shah's speech in #UP does political ju jitsu. Says: Ask CM when will ""achche din"" come."
174,"The dynasty bandwagon rolls on. 20 per cent of all candidates in #UPPolls are kin of BSP, SP, Congress and BJP leaders."
175,I call it the #Punjab cliffhanger. A fierce triangular contest in the Malwa region makes it harder to call the state elections.
176,#Ammainwaiting. VK Sasikala's struggles to claim Jayalaithaa's legacy in this edition of @IndiaToday magazine https://t.co/3IhkTbD9yU
177,"Cliffhanger in UP. The BJP falls short of a clear majority in Lucknow, yet is a frontrunner in 3 states, predicts @IndiaToday Axis poll"
178,A fine balance in the budget. FM Jaitley's please-all budget lowers taxes &amp; stimulates key sectors without compromising on fiscal prudence.
179,39 per cent of respondents in India Today #MOTN poll say only someone from outside Nehru-Gandhi family can revive #congress @IndiaToday
180,NDA wins on security - 58 per cent endorse surgical strikes on Pakistan. 44 per cent say terrorism biggest security threat. #MOTN
181,Modi gains currency. Our biannual @IndiaToday #MOTN poll is a referendum on PM's demonetisation gambit. https://t.co/nkDnkDfTTl
182,Presenting a re-imagined @IndiaToday. Dazzling variety of finely curated information and features for the thinking Indian in a new design.
183,"Bhabani Munda, a tea seller coaches a football team of 11 tribal teenage girls in West Bengal. #TheGoodNewsIssue 
https://t.co/O4eQaQquKI"
184,"Arifa Jan, 31 braves stone pelters in #Srinagar to work to revive #Kashmir’s failing craft of Namda weaving. https://t.co/Oqj0cjrolu"
185,"#TheGoodNewsIssue. 21 men&amp;women who have broken rules to make a difference to their own lives &amp; those of others.  
https://t.co/Ix94k4WSVM"
186,Will BJP’s bid to project Modi as the messiah of the poor find traction in high-stakes battle for UttarPradesh? https://t.co/jUdvCSC9nz
187,"Stars seem to favor BJP in UP since SP is in disarray, no BSP surge in sight.But challenge for BJP to up its voteshare from 15 to 30% to win"
188,Winning UP will be the turning point of PM's premiership &amp; a verdict on demonetization. Defeat will be a serious personal setback.
189,Govt regulation should check malpractice. But don't throw the baby with the bathwater. Encourage excellence.… https://t.co/uFtgcwoMKh
190,"Govt schools should not give a reason for private schools to exist. If they do not live up to the expectation, then give people a choice."
191,"Govt schools should not give a reason for private schools to exist. If they do not live up to the expectation, then give people a choice."
192,Much of India’s future lies in the south and we as a media group intend to engage in it in every way we can. #SouthConclave17
193,2/2 Govt’s only contribution to private schools is allotting them the land that is both paid by and earmarked for them
194,"1/2 #DelhiSchoolAdmissions : Instead of improving govt schools, more energy is spent on regulating unaided private schools."
195,"I believe if you want things talked up, stay in north India. Want things done, go to south. #SouthConclave17."
196,My condolences to people of TN at loss of #jayalalithaa . It would have been a great privilege if she had been with us at #SouthConclave17
197,"We are privileged to have with us five CMs from the south - Tamil Nadu, Karnataka, Kerala, Andhra Pradesh &amp; Puducherry. #SouthConclave17"
198,"Consequences of 2016, a topsy turvy year, will play out in 2017 and it won't be pretty sight. My letter @IndiaToday 
https://t.co/5iq0go7pN5"
199,"First in media. Meet the extended family of PM @narendramodi, up an close. @IndiaToday exclusive
https://t.co/KacHXEiYst"
200,RT @salmanmasood: Several politicians saying that this is the first time ever in country's election history that polling agents have been f…
201,@rupasubramanya @bainjal Thanks .. and yeah know exactly what you mean
202,@Mahabat99627436 @bainjal Hamesha :)
203,@ReyanJ1 @bainjal Cool. Just don't claim to be an exception yaar
204,@rupasubramanya @bainjal Exactly! Would be funny except when you pause to consider that this is one of India's most… https://t.co/V2pbE16bSj
205,@shreyas121991 @anuraag_saxena @narendramodi @washingtonpost Chalo enjoy karo na.
206,@dhanyarajendran @bainjal Dhanya!!!sorry @bainjal can't bear the doublespeak. Everyone has biases and it's a free w… https://t.co/zEw8hpncO8
207,@rupasubramanya @bainjal You mean you didn't know?? I mean infantile in the extreme to bring personal relationship… https://t.co/8GpfpLmTvN
208,@India_MH12 @bainjal Sure. Free world. Just don't claim to be a professional politician who believes in free media
209,@bainjal Sorry but disagree with the definition of exception. Omar Abdullah unfollowed me and stopped talking to me… https://t.co/0UEBL0pV4y
210,"I was on @SkyNewsAust with @helen_Dalley to talk about #Electionpakistan2018- Imran Khan, Nawaz Sharif, Hafiz Saeed… https://t.co/5pNcbBiVe5"
211,@Princessofdel @dhume Acha. Like what part is untrue
212,RT @tufailelif: ~ @BDUTT: “Cow vigilantes” has become contemporary shorthand for murderous right-wing mobs who kill Muslims simply for bein…
213,@sonaliranade I don't think you've read my piece
214,As Yogi Adityanath conflates the lives of cows with those of humans being lynched- my Washington Piece asking PM Mo… https://t.co/3CiZJbRebz
215,@anuraag_saxena @narendramodi @washingtonpost Named all of them. Why has no action been taken against them to set an example
216,@anuraag_saxena @narendramodi @washingtonpost What about the BJP leaders including Ministers who defend the mobs
217,@anuraag_saxena @narendramodi @washingtonpost The two points are unlinked. If you read the piece I am happy to debate after
218,Will @narendramodi do something to stop India's Cow Terrorists from Killing Muslims? In @washingtonpost I say: Quit… https://t.co/76Am7wqzho
219,"RT @TalatHussain12: Numerous complaints already from Punjab and KP particularly of late start of polling, absence of basic facilities, staf…"
220,"As Pakistan votes, good luck to friends across the border. This time- in a first- no Indians were given visas to  r… https://t.co/b6l0LyqxOF"
221,@KarenAttiah hey trying to reach you
222,@Soni_Razdan Exactly
223,RT @AartiTikoo: Bureau of Research on Industry &amp; Economic Fundamentals is organising a memorial service for senior journalist late #Shujaat…
224,"RT @TheWorldPost: Rahul Gandhi just set himself up as the main contender to take on Modi in next elections. 

How? By hugging him, writes @…"
225,So will the cops be jailed for being accomplices to murder- because that's what they were #AlwarLynching https://t.co/bDIlJs5J8l
226,@KarenAttiah When did we part
227,Right. Why do we need a constitution at all when we have already decided that the life of a cow is more sacred than… https://t.co/LNivY5Kkjb
228,"Politics is not about gobbledygook like love &amp; compassion; politics is not a hallmark card. Rahul Gandhi's 'Hug"" wa… https://t.co/S6eDPuMvDC"
229,@Jayajaitly @rupasubramanya @tufailelif @RahulGandhi @narendramodi what does this have to do with India's success?… https://t.co/Wj7byHfMac
230,@DEArdeshir @washingtonpost @RahulGandhi You haven't read the piece
231,😎🐒. https://t.co/ziLkngFsMm
232,@powerofyogesh :-))) ha ha
233,@ambika3011 @washingtonpost think the wink indicated that  the hug was planned and political. and that he knew he had won the headlines
234,@nakalcheebandar @washingtonpost thank you !
235,"Yes, Rahul Gandhi totally won the headlines with 'The Hug' but he also took a risk. By setting himself up as the ma… https://t.co/oMmKUKjGAR"
236,RT @madhulikasikka: Thank you @BDUTT for providing some context.  All I had seen was the social media explosion! Opinion | Rahul Gandhi hug…
237,"RT @VishalChoradiya: ""Given that a ragtag coalition of leaders will have to pool their resources &amp; bury their egos to take on the dominatio…"
238,@nirav_josh @nippondash @ShekharGupta Disagree. Think it was pure politics
239,@nippondash @ShekharGupta mentioned The Wink ! you missed it. ! It said it showed he was aware that the move  had w… https://t.co/jpqbXIXZeR
240,@Shubhrastha @washingtonpost Hello dear it's a free world and you are free to disagree or hate what I write :) isi… https://t.co/WnrmpbhQzc
241,. @RahulGandhi hugged @narendramodi - And It Hurt!  My take in @washingtonpost on why 'The Hug' showed RG was astut… https://t.co/TKa2boXlnW
242,@seagullbooks I love that there are things that are still done quietly. Congratulations
