Unnamed: 0,tweet
48,"Hrudayapoorvaka Swagatham (hearty welcome). Over the next two days at #SouthConclave18, you will listen to visionar… https://t.co/TRbpN0MRHl"
50,"Meet our happiness project, the do-gooders who help change millions of lives. IIT-ian Umesh Malhotra who educates 1… https://t.co/0U5xVUTuwn"
52,"#IndiaTodayNewsmaker2017 @imVkohli. Why #KingKohli?  2,818 runs, 9 back-to-back series wins, six 200+ scores in 17… https://t.co/IKFUhRm7Hn"
54,"The hand needs holding. The Gujarat defeat was honourable, but Rahul’s #Congress needs to urgently stem the organis… https://t.co/NGRVrINo48"
56,RT @IndiaToday: Watch India Today Group Chairman &amp; Editor-in-Chief @aroonpurie delivering the keynote address at #ArtsAwards18 ceremony. #I…
58,"India Today is 42! Our unmissable anniversary special looks at the DIY Generation, 42 tech-wizards, change-makers,… https://t.co/dnVqhykZ1d"
60,Will he fit the cap? Curious echo of a question we asked of Rahul’s father Rajiv Gandhi as he was being groomed to… https://t.co/o9kMj9gsD6
62,"The Un(ease) of doing business in India. Sure, India jumped 30 places in the World Bank’s ease of doing business ra… https://t.co/SStRFLwsMW"
64,"The all new saree. A sign of both modernity and tradition, in the hands of designers today, the sari is becoming an… https://t.co/kDMdp3GHfr"
66,"At @IndiaToday  #ConclaveEast17 CM Mamata Banerjee was in full form leading the charge against the Modi govt. ""Beng… https://t.co/sAwhpasFs1"
68,"A Republic of outrage? Why and how myth, history and electoral calculations fuelled the Padmavati conflagaration. T… https://t.co/wo8mJElxbz"
70,"The Dragon’s Grip Tightens. Nepal, Bangladesh, Sri Lanka and the Maldives-- China’s One Belt, One Road is rapidly e… https://t.co/M5gs0deAq8"
72,"@IndiaToday @aajtak SO PROUD
Best news channel Hindi @aajtak; best news channel English @IndiaToday; Best news prog… https://t.co/xW1gpBE2rr"
74,Hits and misses. #Demonetisation’s first anniversary asks for a lookback at the consequences of PM Modi’s economic… https://t.co/EuZn073BXF
76,Two many leaders? The BJP is divided between Shanta Kumar and Prem Kumar Dhumal. The fight with the Congress in Him… https://t.co/xzvgS4k5oH
78,"Priyanka Chopra in Hollywood. Now, desi supermodels Pooja Mor, Rasika Navare are international runway scorchers. Mo… https://t.co/qPwEbSNYX8"
80,"How to solve the #jobscrisis: @IndiaToday  talks to a galaxy of top experts about solutions.
https://t.co/QD7ksUWHBZ"
82,Can Amit Shah’s manoeuvres enable BJP to better its 2014 General Election tally of a simple 282-seat majority to a massive 350 in 2019?
84,"RT @aajtak: स्वच्छ जिला से लेकर स्वच्छ मंदिर परिसर तक के लिए #Safaigiri17 अवॉर्ड @MVenkaiahNaidu, @aroonpurie
Live: https://t.co/MSVY8sS7xn…"
86,"What's the next big thing in technology that Satya Nadella, Micrsoft CEO, is betting on? @IndiaToday  travels to his Seattle HQ to find out"
88,"COVER STORY
#MoversAndShakers
Our special collector’s issue celebrates 70 icons who have defined India in the 70 yr… https://t.co/wNWMvoRvaZ"
90,How will Infosys reboot. A behind-the-scenes account of the Vishal Sikka-Narayana Murthy showdown. What’s next? #IndiaTodayMagazine
92,1/2 Modi has achieved a kind of political nirvana —his popularity delinked to people’s view of his performance.
94,India a miracle of history. Only erstwhile British colony to survive as united democracy despite diversity. https://t.co/edTEdB6Uc1
96,".@indiatoday latest issue has 70 institutions which contributed to India. Temples of modern India in education, healthcare, business &amp;infra."
98,#NawazSharif's ouster has thrown Pak into political turmoil. Actors have changed but torturous Game of Thrones plot… https://t.co/92tWnbsWsy
100,@IndiaToday Correction: Featured in SPD - Society of Publication Designers
102,Leaked documents reveal China’s plans to buy out large swathes of Pakistan’s economy. Why India needs to worry.
104,The frequent lynching by cow vigilantes and mobs is a shame on our country. Government must #StoptheMadness https://t.co/6F1ECHDHjy
106,China continues to needle India by provoking perilious military standoff about an obscure pasture in Bhutan. An ind… https://t.co/baWJd9sOJg
108,Much needed reform #GST gets rolling. Unnecessarily complicated. Many bumps ahead Hopefully we will eventually blun… https://t.co/LNusVqZ4vr
110,The Naveen mystique. Four terms and 17-years. The secret behind the uninterrupted reign of Odisha CM Naveen Patnaik. @IndiaToday magazine
112,"Good news: Most dreaded disease of our times with new breakthroughs in drugs &amp; therapies will soon be controlled.
https://t.co/sStF8HBVCP"
114,Kudos to govt for deciding to privatize the bleeding Maharaja. Bold decision. It has debt of Rs 52000 cr &amp; annual l… https://t.co/ccPbsf3LTK
116,"2/3
Such a move also undermines basic tenets of free speech enshrined in the Constitution. I maintain none of us in media are above the law."
118,"Indian farmers use 2-3 times more water to produce one tonne of grain compared to China, Brazil &amp; the US. Just inefficient."
120,"Loan waivers for farmers are band-aid populist solutions. Not addressing fundamental problems of agriculture.
https://t.co/nvUJ5VpRsE"
122,Our provocative cover on Pakistan’s tactical nuke threat won us IFRA’s ‘Best of Asia’ cover design award. Way to go… https://t.co/lCsoNke8vS
124,.@UdayMahukar has tracked Modi through a three-decade career with us. Marching with a billion released on 3-yr anniversary of Modi govt
126,Govt has introduced game changing economic legislation: #GST and Banking regulation. Audacious attack on black mone… https://t.co/09jsfyk0ld
128,"In its 20th year @IndiaToday’s Best Colleges survey'17 is out. In the  latest issue, new winners &amp; top educational… https://t.co/NHMpZUWrcr"
130,Rahul has a plan. Finally. First steps from Gandhi scion to end Congress’ coma includes a rejig of party strategists in poll-bound states.
132,Blaming EVMs for defeat shows how bereft #AAP is of ideas. They showed glimmer of being an effective opposition. Dimmed now.
134,A Shocking Surge: Childhoods at stake in Jharkhand as Maoists conscript child soldiers to replenish depleting ranks.
136,1/2 Political class makes ritualistic mourning noises at deaths of soldiers but do nothing later.
138,"1/2 Despite deadly strikes in Chhatisgarh, Maoists are on the run from an aggressive security establishment. Hearte… https://t.co/uYpYuCMeqO"
140,"The Baahubali blockbuster -- Rs 450 crore spend for 2 films; 615- day shoot over 4 years, minimum 600-person crew on sets. #BaahubaliReturns"
142,"#HighandMighty Global list in the Age of Trump vs Brexit has many changes in international movers and shakers. 
https://t.co/7LMOVlQR7V"
144,.@IndiaToday My editor's note from the magazine https://t.co/SFQuyFNCRQ
146,"Perils of moral policing in UP which tops list of crimes against women including rapes &amp; dowry deaths. Strangely, ‘eve-teasing’ main focus"
148,"Technology is a great leveller. Mukesh Ambani on the march of disruptive tech that can transform global economy
https://t.co/2NOpKUydZm"
150,Old certainties vanish as world lurches towards volatility. @IndiaToday #Conclave17 made sense of the world reshaped https://t.co/vXOlm5wqkM
152,"This government obviously is on steroids. Taking all the problems of India by the horns, one scheme at a time: @aroonpurie #Conclave17"
154,.@indiatoday #Conclave17 https://t.co/6yTAai17py
156,"RT @IndiaToday: I have a deep affection and long association with Mumbai: @aroonpurie, Editor-in-Chief #Conclave17
Watch Live https://t.co/…"
158,"RT @IndiaToday: For past 15 yrs, we’ve had many of greats of the world who’ve made history at Conclave: @aroonpurie, #Conclave17
 https://t…"
160,"Trump’s goal is to grow trade with India from $100 Bn to $300 Bn, says his  closest Indian-American ally Shalabh Kumar @IndiaToday"
162,Congratulating the team at #enbaAwards @IndiaToday @aajtak https://t.co/wCeJyMxMrI
164,At #enbaAwards. ITG Group Editorial Director Kalli Purie's incisive speech. https://t.co/kvh5Z8DxJy
166,"#UnmadeInIndia. Delays, a funds crunch and bureaucracy could undo the plan to indigenize our $100 billion arms buys. @IndiaToday magazine"
168,No communal overtones or appeasement noises from @yadavakhilesh More positivity than negativity in speeches. Short on rival abuse.
170,#CampaignTrail Akhilesh Yadav - Great crowd connect bordering on bhaiyamania. Force to reckon with. #UP
172,Akhilesh Yadav with Mother Teresa Sisters waiting for him on the road.  Benefits of Congress Alliance. https://t.co/HfqlaEFtlD
174,"The dynasty bandwagon rolls on. 20 per cent of all candidates in #UPPolls are kin of BSP, SP, Congress and BJP leaders."
176,#Ammainwaiting. VK Sasikala's struggles to claim Jayalaithaa's legacy in this edition of @IndiaToday magazine https://t.co/3IhkTbD9yU
178,A fine balance in the budget. FM Jaitley's please-all budget lowers taxes &amp; stimulates key sectors without compromising on fiscal prudence.
180,NDA wins on security - 58 per cent endorse surgical strikes on Pakistan. 44 per cent say terrorism biggest security threat. #MOTN
182,Presenting a re-imagined @IndiaToday. Dazzling variety of finely curated information and features for the thinking Indian in a new design.
184,"Arifa Jan, 31 braves stone pelters in #Srinagar to work to revive #Kashmir’s failing craft of Namda weaving. https://t.co/Oqj0cjrolu"
186,Will BJP’s bid to project Modi as the messiah of the poor find traction in high-stakes battle for UttarPradesh? https://t.co/jUdvCSC9nz
188,Winning UP will be the turning point of PM's premiership &amp; a verdict on demonetization. Defeat will be a serious personal setback.
190,"Govt schools should not give a reason for private schools to exist. If they do not live up to the expectation, then give people a choice."
192,Much of India’s future lies in the south and we as a media group intend to engage in it in every way we can. #SouthConclave17
194,"1/2 #DelhiSchoolAdmissions : Instead of improving govt schools, more energy is spent on regulating unaided private schools."
196,My condolences to people of TN at loss of #jayalalithaa . It would have been a great privilege if she had been with us at #SouthConclave17
198,"Consequences of 2016, a topsy turvy year, will play out in 2017 and it won't be pretty sight. My letter @IndiaToday 
https://t.co/5iq0go7pN5"
200,RT @salmanmasood: Several politicians saying that this is the first time ever in country's election history that polling agents have been f…
202,@Mahabat99627436 @bainjal Hamesha :)
204,@rupasubramanya @bainjal Exactly! Would be funny except when you pause to consider that this is one of India's most… https://t.co/V2pbE16bSj
206,@dhanyarajendran @bainjal Dhanya!!!sorry @bainjal can't bear the doublespeak. Everyone has biases and it's a free w… https://t.co/zEw8hpncO8
208,@India_MH12 @bainjal Sure. Free world. Just don't claim to be a professional politician who believes in free media
210,"I was on @SkyNewsAust with @helen_Dalley to talk about #Electionpakistan2018- Imran Khan, Nawaz Sharif, Hafiz Saeed… https://t.co/5pNcbBiVe5"
212,RT @tufailelif: ~ @BDUTT: “Cow vigilantes” has become contemporary shorthand for murderous right-wing mobs who kill Muslims simply for bein…
214,As Yogi Adityanath conflates the lives of cows with those of humans being lynched- my Washington Piece asking PM Mo… https://t.co/3CiZJbRebz
216,@anuraag_saxena @narendramodi @washingtonpost What about the BJP leaders including Ministers who defend the mobs
218,Will @narendramodi do something to stop India's Cow Terrorists from Killing Muslims? In @washingtonpost I say: Quit… https://t.co/76Am7wqzho
220,"As Pakistan votes, good luck to friends across the border. This time- in a first- no Indians were given visas to  r… https://t.co/b6l0LyqxOF"
222,@Soni_Razdan Exactly
224,"RT @TheWorldPost: Rahul Gandhi just set himself up as the main contender to take on Modi in next elections. 

How? By hugging him, writes @…"
226,@KarenAttiah When did we part
228,"Politics is not about gobbledygook like love &amp; compassion; politics is not a hallmark card. Rahul Gandhi's 'Hug"" wa… https://t.co/S6eDPuMvDC"
230,@DEArdeshir @washingtonpost @RahulGandhi You haven't read the piece
232,@powerofyogesh :-))) ha ha
234,@nakalcheebandar @washingtonpost thank you !
236,RT @madhulikasikka: Thank you @BDUTT for providing some context.  All I had seen was the social media explosion! Opinion | Rahul Gandhi hug…
238,@nirav_josh @nippondash @ShekharGupta Disagree. Think it was pure politics
240,@Shubhrastha @washingtonpost Hello dear it's a free world and you are free to disagree or hate what I write :) isi… https://t.co/WnrmpbhQzc
242,@seagullbooks I love that there are things that are still done quietly. Congratulations
244,Interesting. Sartaj Madni was the one name every PDP rebel has taken as part of the problem of nepotism in the party https://t.co/4TzqE4UZj2
246,@PhotosJunction @FaaizDijoo @shangpal @Nidhi @Touseefraina @AskYousuf @SAAQQIIB @Tahir_A @AartiTikoo @tanvirsadiq… https://t.co/6Yk11wNPHZ
248,@kaushikcbasu This is brilliant
250,@rraina1481 Thank you sir
252,It's always more than ok and yet #WeTheWomen find that the toughest @WomenDeliver @WeTheWomenAsia… https://t.co/2ldYFIyEpH
254,An honour to host this all important conversation in Amsterdam on the rights of women and girls at #Aids2018 for… https://t.co/RsDKQuGdHs
256,#Alwar lynching joins a horrific list of numbers  - and we want to still pretend that these mobs are 'vigilantes' ;… https://t.co/KoOaE04AOb
258,"On ""Aankh Mein Aankh "" comment by RG @narendramodi lists all those who wouldn't dare including @CitiznMukherjee. As… https://t.co/hsKd6JopSe"
260,"PM using ""Bachpana"" repeatedly in reply to #NoConfidenceMotion . That seems to be the meta answer to #TheHug by Rahul Gandhi"
262,Unseemly of TDP MPS to shout down PM Modi while he is replying to the debate #NoConfidenceMotion
264,Instead of Nudge Nudge Wink Wink it's now 'Hug-Hug Wink-Wink' !! #RahulKiGandhigiri #TheHug #RahulhugsModi
266,So speaking politically @RahulGandhi just ensured that #TheHug will be the headline everywhere instead of the… https://t.co/AsURJEfyLM
268,Er. #TheHug  #Gandhigiri #whatjusthappened #NoConfidenceMotion https://t.co/NdwccfrDcH
270,@65thakursahab Was always expected to abstain
272,@sambagai 😎 ouch
274,Can't understand the point of this #NoConfidenceMotion : seems to expose all the chinks in opposition armour &amp; stre… https://t.co/lWPg4qwUcH
276,@nazia_e @ifra_jan @khanamirullah Ok sorry if I misunderstood but there appears a you are with us or against us ton… https://t.co/QPQDoeVhOM
278,@khanamirullah @nazia_e Sorry I misunderstood. Deleting previous tweet
280,@khanamirullah @nazia_e Huh?
282,@nazia_e @khanamirullah That's not fair. A lot of people who have protested have the opposite ideology
284,"""Fake News &amp;  Paid News."" @rssurjewala on claim that @RahulGandhi said Congress is a party for Muslims. ""Publicatio… https://t.co/HUO1D3X3bW"
286,@Chikisarkar Yes it is but not by treating Muslims like exotic discoveries and specimens .
288,@ashwin_baindur @AnooBhu @syedtm @iamrana @ReallySwara Sir I have only said 1000 times I agree with the intention not the articulation.
290,So word is @shahfaesal &amp; @Shehla_Rashid to contest the next elections in #Kashmir after formally joining… https://t.co/wADFZ0Nc6f
292,@AnooBhu @syedtm @iamrana @ReallySwara That doesn't mean non Muslims can't disagree ?
294,@KumarShiwang @AnooBhu @ReallySwara i NEVER said we should ignore. I dont ignore it
296,@OmairTAhmad @ShivAroor Exactly
298,@nazia_e @tanvirsadiq Nopes..please see my tweets.
300,@shahid_siddiqui Exactly my problem with this hashtag
302,@satishkolls @ReallySwara Exactly
304,@zainabsikander I respect your sentiments . Trust me I hear abuse every day on this issue. I just feel uncomfortabl… https://t.co/3EGFESUsrk
306,@zainabsikander I see you point and hence of course I see the intention. But I just think this doubles down on othe… https://t.co/wvmjNO3nNd
308,When faith collides with human values &amp; fundamental equality; equality needs to win every single time. That menstru… https://t.co/guGiqTey7E
310,@SiddharthTrisal Ok stand corrected
312,I guess that's what they call Putin Your Own Country Down #TrumpPutinSummit
314,"RT @dabeard: Here are pictures of the journalists killed under Putin. I’d like to say the man who represents my nation would denounce that,…"
316,If this image doesn't break your heart and fill you with rage.. what will.. https://t.co/CkrAYPH9p4
318,RT @brainpicker: This Emily Dickinson poem ought to be the Internet's code of conduct. And life's. https://t.co/iw1OSidgIz
320,RT @Ahmed1Hilal: Nikah-Halal is an anti-Islam anti-women patriarchal practice and it must be banned. AIMPLB is not a representative body of…
322,@Vikram_Sood thank you sir
324,@NotSoSickular Yes
326,@sambagai But I am backing Croatia
328,@SandipGhose Why make all that effort ?!!!! Too many contradictions in this narrative
330,Amidst all the speculation around return of election strategist Prashant Kishor to BJP; my sense: not a done deal a… https://t.co/oZOv1PetZO
332,@hussain_imtiyaz Fully agree .
334,@basharatw Which ?.
336,@SalmanNizami_ Hero ? I don't call anyone a hero !
338,This is very welcome @RahulGandhi : so hope it shall become a template for the party going forward. Because frankly… https://t.co/wowpHhQEin
340,@neethajohn10 Thanks so much
342,@AmeerTamoorKhan @BeenishSaleem @washingtonpost Thank you
344,@SanjayGVaru @TarekFatah @washingtonpost Are you stupid. I travel virtually every year and report from the ground. It's visa dependent
346,@aktalkies @vickykaushal09 He has been so superb in everything I've seen lately
348,@RajatMadhok :) thanks
350,As #NawazSharif goes to jail along with daughter @MaryamNSharif  here's why his rival @ImranKhanPTI should not be c… https://t.co/x3FCyMM9MM
352,RT @salmanmasood: Nawaz Sharif and Maryam Nawaz exhibited immense calm and showed great nerves while handing themselves for arrest. It must…
354,@sumankargupta Thanks !
356,@ImranNDar @sajadlone supported to the extent that I thought it was an idea worth trying in a fractured mandate- i… https://t.co/DiJXft9E6g
358,@ChefKak @htTweets yep- agree
360,@tanvirsadiq @RuhullahMehdi Of course you should..but every party has called the other agents of Delhi. I've grown… https://t.co/Y8bFqvzNL5
362,"@tanvirsadiq @RuhullahMehdi I dont ""want"" anyone. I was indeed a supporter of the alliance as I thought (mistakenly… https://t.co/FtgHfnEZB1"
364,RT @ammarawrites: Nawaz Sharif and @MaryamNSharif are now in Lahore. Brave people. #NawazCrackdown #NawazSharifReturns https://t.co/DQ9EOot…
366,RT @TalatHussain12: Geo drops my programme on Lohari gathering and assessment of the size and sentiment of the charged crowd. There was an…
368,@SalmanNizami_ He was a minister in the govt .. and contested elections in 2002. No one said anything then !!!
370,@sanjayuvacha No Sanjay a correction he was a candidate and Yasin malik was his agent
372,Mehbooba Mufti warns of more Salahuddins in Kashmir if the PDP splits. I write in @htTweets on why her 1987 analogy… https://t.co/3W2flbHTNe
374,@sameeryasir Though they have all said it about each other over the years
376,@SushmaSwaraj @governorswaraj Happy anniversary to both of you best wishes
378,@theRealYLH @BBhuttoZardari They have worked together before when BB was alive and Musharrafs was President. Charter of democracy etc
380,In India what you eat can get you murdered ( Beef); who you have sex can get you jailed (377) - nanny state where o… https://t.co/RlxWcrvkIZ
382,@pcocomenon @washingtonpost Indeed
384,RT @GulBukhari: Mobile signal &amp; 4G connection gone in Lahore
386,RT @syrinje: Powerful piece by @bdutt in which she thunderstorms down on a spineless polity that refuses to live up to the promise of a dem…
388,@pbhushan1 many thanks Prashant
390,Shameful cowardice of India's Politicians on Gay Rights. Apart from   exceptions- @ShashiTharoor @arunjaitley… https://t.co/vIIWRzWUDK
392,"RT @PadmaLakshmi: Read this now. @BDUTT shows that in order to call yourself a democracy, you have to act like one. Beautifully written pie…"
394,@PawanDurani well Pawan  a day in the life of a journalist. Besides why take the prize away from someone else :-))… https://t.co/r2XdjpVLsw
396,What is the point of our democracy if elected lawmakers (minus exceptions) wont grow a spine &amp; wont do their job- w… https://t.co/gOkqy646VY
398,@PawanDurani @OmarAbdullah @Twitter Let me know the answer too 😎😍😘😅
400,"RT @alok_pandey: Been watching all reports by @harsha_ndtv on the Alwar lynching , and must say there is no substitute for years of experie…"
402,RT @soniandtv: Probably the first time Amartya Sen has been told he’s representing the ‘corrupt rich’ when he tells Rajiv Kumar of Niti Aay…
404,"RT @sardesairajdeep: When a 80 year old saffron robed Hindu Arya Samaji Swami is attacked by the mob, then all you can ask: who is safe? An…"
406,RT @CMNelsonPhoto: A fence can’t stop my two-year-old from playing with his new best friend. https://t.co/9QBuaq4Ee2
408,"RT @tavleen_singh: Sickening! Utterly, utterly sickening. https://t.co/iiuSfLqOAh"
410,RT @ProfVarshney: I am unable to watch India's news TV anymore. Most channels parrot the political establishment. But once in a while when…
412,https://t.co/Fqv7uT1JRn
414,RT @JohnnyAmitoj: The Djoker’s back! https://t.co/qASpByVg2U
416,"RT @arvindsubraman: Does India already have a QUBI, quasi-universal basic income? How Telangana’s direct benefit transfer scheme with adapt…"
418,RT @priyankachopra: Justice delayed but not denied... the Supreme Court of India sends out a strong signal to perpetrators of these heinous…
420,RT @soniandtv: @anilvv @ndtv Thank you
422,RT @notesfrompoland: Dutch TV interviews Polish academic and former anti-communist activist Jerzy Targalski - but it's his cat that steals…
424,"RT @ReallySwara: Sir, let me get this right- u r honouring the due process of law by garlanding the accused and the convicted guilty. Again…"
426,One headline I dislike - one which we have avoided for many years  - “India goes down fighting”.  You dislike it to… https://t.co/bdpDcVYNkl
428,RT @KumarShiwang: @theblcksheep It was an investigative story she pointed out that to suggest that all deaths were not suicides.She was hig…
430,"RT @sardesairajdeep: These are the ‘shits’ who exist in the world around us (sorry, don’t have w better word to describe them) it is our bo…"
432,RT @Abu_Sami68: Really love this @anjileeistwal &amp; @JohnnyAmitoj morning show. They even did the Colombian celebration this morning! Great d…
434,RT @sunetrac: How is it that US CEOs from airbnb to all others are openly criticising Trump on child separation policy but our business lea…
436,"RT @FridaGhitis: Under the orders of armed men, a mother pulls the shoestrings from her daughter's shoes before being dragged away from her…"
438,RT @shivithukral: Saturday old book discoveries at home threw up this gem although I yearn for truly well written stories &amp; not shouting bo…
440,RT @Nidhi: Armchair patriots don’t know what it’s like for so many journalists reporting on the ground in Kashmir. The kind of pressures th…
442,@manishanataraj 🙏🏽
444,"RT @SwatiWild: My blog on #WorldOceansDay , https://t.co/FTlGeRlkOf @GargiRawat @anishandheria @prernabindra @deespeak @BittuSahgal @Pranno…"
446,The “something” is Dhoni. Right? https://t.co/1QNBaXpwIQ
448,"RT @ShoaibDaniyal: Yesterday, in West UP's Shamli district, 2 Jat farmers randomly broke into a two-minute speech about how excellent Ravis…"
450,RT @JohnnyAmitoj: Bring on your death threats https://t.co/jT7BzgMBw4
452,"RT @Ram_Guha: Delighted and honoured that @guardian has chosen ""A Corner of a Foreign Field"" as one of the ten best cricket books ever writ…"
454,RT @AzmiShabana: By far the best of the best.Salgirah mubarak @sardesairajdeep Jeete raho khush raho. Bahut saara pyar https://t.co/3mkR5lj…
456,RT @sagarikaghose: The shocking hounding of @RanaAyyub and so many women journalists in India these days #TrollSangh https://t.co/sayGymQfdW
458,"RT @Suparna_Singh: India For Sale? What Karnataka Has Flagged For Us- blog by election guru Dorab Sopariwala. 
https://t.co/KhHA0GVZVC"
460,"RT @SudheenKulkarni: On @ndtv debate on #Karnataka I said:

#SupremeCourt saved Indian democracy from a scandalous assault. But we cannot a…"
462,"RT @umasudhir: In exclusive interview to @ndtv aboard bus carrying #KarnatakaCongress MLAs to #Hyderabad, @DKShivakumar tells @ndtv #BJP is…"
464,Sinking into Authoritarianism https://t.co/tcmEqTPSec
466,RT @derekobrienmp: #BestBengal https://t.co/fnoH2GTESF
468,RT @LinahAlsaafin: The Onion is on a roll https://t.co/B6ci8loedZ
470,"Thank you once again from the bottom of my heart, Amitabh @srbachchan, for your commitment to #SwachhIndia and NDTV… https://t.co/7zmjuoVzRn"
472,"RT @pressfreedom: #MostRead this week: People need to know why our journalists were arrested in #Myanmar, Reuters tells CPJ https://t.co/s7…"
474,RT @Suparna_Singh: Poll of exit polls - aggregate of all - at 6.30 pm on @ndtv with @SreenivasanJain   Watch on air or on our app #karnatak…
476,"RT @vikramchandra: Amitabh Bachchan Launches Season 5 Of Banega Swachh India
https://t.co/Pd2oAzonH0"
478,Appeal to our viewers to help finance this child’s education  🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽 https://t.co/JoiQ2QHCsI
480,"RT @RanaAyyub: Last ten days have been a nightmare, a living hell. The support from various national &amp; international human rights, journali…"
482,"RT @pressfreedom: ""Police in #NewDelhi need to take the online attacks and threats against Rana Ayyub seriously and take swift action to pr…"
484,RT @menakadoshi: Interesting that FT lists Raghuram Rajan as a potential contender for the top job at Bank of England. https://t.co/dgbnigk…
486,"RT @Olacabs: @Abhishek_Mshra Ola, like our country, is a secular platform, and we don't discriminate our driver partners or customers basis…"
488,RT @SreenivasanJain: Congratulations @ShekharGupta and the new team. Much overdue strengthening of self regulatory media bodies. https://t.…
490,RT @Suparna_Singh: And it begins. The #NDTVTechConclave - watch live. All day on @ndtv and our app. With @vikramchandra and @RajivMakhni ht…
492,RT @TomZohar: Love spending a relaxing Sunday curled up with a good book as it sits next to me untouched while I scroll through twitter for…
494,RT @ndtv: Want to work on elections with @PrannoyRoyNDTV? https://t.co/8a671zU9uq
496,RT @Suparna_Singh: online as youngest and most democratic form of media must be allowed 1) the chance to self-regulate 2) fair representati…
498,RT @ShekharGupta: Make no mistake: this is a breathtaking assault on mainstream media. It’s a moment like Rajiv Gandhi’s anti-defamation bi…
500,RT @free_thinker: Fervent appeals to trend #ReleaseMaheshHegde on BJP WhatsApp Groups in support of @postcard_news founder @mvmeet https://…
502,RT @ShekharGupta: This seems unprecedented. UN Secretary General says he is “concerned” about death of two Indian journalists in Bihar &amp; MP…
504,RT @divyanganasingh: On World TB Day let's pause to remember those who lost the battle to TB. 1300 continue to die everyday in India. It ca…
506,RT @Shakir_qatar: @PrannoyRoyNDTV when all others channels are looking towards loose cannons of political parties for hot topics. SARAH JAC…
508,"RT @soniandtv: Been a good year so far,first  'Best Channel of the Year'  &amp; now this one 🙏 #TrustisEarned https://t.co/qPyyRZ9hIa"
510,RT @bhogleharsha: Brilliant century from @ABdeVilliers17. And gets there with an upper cut! I don't think there is a cricket lover in the w…
512,"RT @Suparna_Singh: And @ndtv is most-read for news, once again. Thank you.  I’ll take this start to the week! https://t.co/QXSMwyNjQO"
514,RT @ndtv: We at NDTV lost a dear colleague. Our thoughts and prayers are with his family https://t.co/sc6cT7OZtS
516,RT @drharshvardhan: Today is #WorldWildlifeDay - to celebrate &amp; raise awareness of world’s wild animals &amp; plants. This year’s theme is- #Bi…
518,"“In India, Narendra Modi’s government has launched a highly questionable fraud and money laundering case against ND… https://t.co/kJUPOxxIWD"
